,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
673,Sett,268,110846,0.53,0.59,1.61,22.0,272.0,Zac,443,1066579,0.48,0.53,3.44,357.0,541.0,Swain,463,61947,0.54,0.8,3.19,5.0,141.0,Jhin,251,1237893,0.52,0.57,2.77,439.0,637.0,Lulu,377,523601,0.51,0.57,4.75,310.0,1025.0,Kayle,Volibear,Fizz,Zeri,Nami,0
674,Volibear,261,261082,0.53,0.55,1.63,218.0,272.0,Diana,38,33182,0.53,0.54,2.87,59.0,174.0,Heimerdinger,396,219914,0.52,0.49,2.5,35.0,467.0,Ashe,393,12713,0.51,0.0,1.0,2.0,348.0,Senna,459,83657,0.54,0.67,3.17,27.0,141.0,Kayle,RekSai,Malzahar,Jhin,Lux,0
675,Kayle,350,296774,0.56,0.57,1.84,138.0,257.0,Warwick,255,56243,0.51,0.57,2.35,75.0,2824.0,Veigar,459,148010,0.51,0.49,2.09,49.0,424.0,Ezreal,612,500250,0.49,0.36,2.27,162.0,1294.0,Pyke,74,10405,0.5,0.5,1.64,18.0,240.0,Volibear,Zac,Yasuo,TahmKench,Senna,0
676,Jayce,51,112484,0.55,0.58,2.32,172.0,345.0,Belveth,580,6007,0.51,0.5,2.5,4.0,317.0,Lissandra,47,171733,0.5,0.52,2.33,258.0,377.0,Twitch,175,15877,0.5,0.39,2.11,13.0,159.0,Renata,571,3643,-1.0,0.0,0.0,0.0,-1.0,Gnar,LeeSin,Leblanc,Zeri,Senna,0
677,Draven,327,17863,0.56,0.84,2.91,19.0,423.0,Trundle,181,9291,0.58,0.4,2.08,5.0,226.0,Vayne,167,2417,0.53,0.5,1.15,2.0,699.0,Veigar,481,61014,0.51,0.67,3.22,3.0,240.0,Morgana,525,467424,0.5,0.53,2.18,216.0,1089.0,Volibear,Sejuani,Zed,Jhin,Rakan,1
678,Singed,345,502302,0.51,0.62,3.56,185.0,149.0,Shaco,295,2234716,0.51,0.54,2.28,403.0,319.0,Lux,206,396465,0.51,0.56,3.36,97.0,375.0,Draven,406,1446058,0.57,0.57,2.11,53.0,144.0,Senna,416,283804,0.52,0.67,3.72,33.0,345.0,Volibear,Qiyana,Taliyah,Aphelios,Zilean,1
679,Kennen,381,106832,0.52,0.25,1.68,4.0,776.0,Khazix,112,54217,0.51,0.52,2.64,91.0,815.0,Xerath,345,176080,0.52,0.73,4.09,15.0,374.0,Tristana,68,30775,-1.0,0.0,0.0,0.0,-1.0,Zyra,358,220809,0.49,0.51,2.02,281.0,556.0,Volibear,Evelynn,Vex,Kaisa,Leona,0
680,Volibear,253,261082,0.53,0.55,1.63,218.0,272.0,Graves,80,92966,0.47,0.47,2.52,38.0,225.0,Katarina,233,1847286,0.53,0.55,2.79,314.0,424.0,Lucian,399,151844,-1.0,0.0,0.0,0.0,-1.0,Sona,450,88119,0.54,1.0,5.33,1.0,141.0,Olaf,JarvanIV,Ahri,Jinx,Nami,1
681,Mordekaiser,428,486198,0.47,0.48,1.82,80.0,349.0,Rengar,44,32821,0.5,0.6,2.37,10.0,16.0,Sylas,163,1383,0.5,0.0,1.31,4.0,1407.0,Kaisa,478,541208,0.5,0.54,2.63,177.0,535.0,Nautilus,287,11632,0.53,0.17,2.55,6.0,234.0,Volibear,MonkeyKing,Yasuo,Senna,Xerath,0
682,Camille,413,143390,0.53,0.53,2.14,15.0,121.0,Diana,57,11183,-1.0,0.0,0.0,0.0,-1.0,Ahri,348,754389,0.49,0.54,2.53,87.0,98.0,Twitch,202,25786,0.51,0.62,2.48,13.0,601.0,Soraka,449,62847,0.54,0.73,2.8,11.0,141.0,Volibear,Taliyah,Galio,Lucian,Nami,0
683,Sion,502,31974,-1.0,0.0,0.0,0.0,-1.0,Sejuani,440,35743,0.5,0.5,5.21,8.0,242.0,Anivia,76,18335,0.55,0.56,2.97,16.0,188.0,Jinx,528,14902,0.49,0.36,1.94,11.0,869.0,Pyke,573,36211,0.51,0.5,2.28,4.0,741.0,Nasus,Mordekaiser,Zoe,Zeri,Renata,0
684,Volibear,249,261082,0.53,0.55,1.63,218.0,272.0,Kayn,602,1058723,0.49,0.51,3.99,65.0,250.0,Ahri,859,418850,0.5,0.63,3.07,93.0,938.0,Draven,41,35158,0.57,0.63,2.13,51.0,81.0,Senna,448,83657,0.54,0.67,3.17,27.0,141.0,Camille,Mordekaiser,Vladimir,Lucian,Sona,0
685,Aatrox,419,127161,0.52,0.46,1.8,109.0,1291.0,Evelynn,168,1151445,0.51,0.52,2.78,863.0,890.0,Veigar,41,11602,0.51,0.6,2.07,20.0,168.0,Ezreal,471,178877,0.51,0.43,2.89,7.0,258.0,Bard,100,6546,0.52,0.43,3.22,7.0,252.0,Sett,Volibear,Akali,Kaisa,Lulu,0
686,Kennen,164,712358,0.54,0.57,2.46,288.0,312.0,Mordekaiser,60,21096,0.55,0.66,2.9,29.0,141.0,Irelia,293,49742,0.49,0.59,1.8,17.0,550.0,Caitlyn,293,227368,0.5,0.71,2.77,35.0,404.0,Blitzcrank,330,150923,0.46,0.53,2.59,171.0,320.0,Kayle,Graves,Neeko,Samira,Leona,1
687,Aatrox,108,110282,0.52,0.59,2.27,95.0,309.0,Qiyana,462,323958,-1.0,0.0,0.0,0.0,-1.0,Sylas,595,178473,0.5,0.54,2.32,123.0,792.0,MissFortune,196,119615,0.51,0.58,2.38,33.0,601.0,Thresh,98,149386,0.52,0.4,2.91,5.0,42.0,Maokai,Rengar,Katarina,Vayne,Lulu,0
688,Kayle,318,16610,0.51,0.4,2.24,10.0,323.0,Qiyana,303,15352,0.5,0.33,2.07,3.0,468.0,Orianna,344,16502,-1.0,0.0,0.0,0.0,-1.0,Jinx,366,150877,-1.0,0.0,0.0,0.0,-1.0,Senna,530,121547,0.5,0.53,2.88,133.0,907.0,Nasus,Sejuani,Ahri,Tristana,Lulu,0
689,Camille,494,53217,0.49,0.5,1.31,4.0,261.0,Graves,460,57780,0.56,0.45,2.73,29.0,99.0,Ahri,336,754389,0.49,0.54,2.53,87.0,98.0,MissFortune,347,185060,0.53,0.52,2.42,190.0,442.0,Senna,447,83657,0.54,0.67,3.17,27.0,141.0,Ornn,RekSai,Veigar,Tristana,Xerath,0
690,Garen,338,98322,0.52,0.39,1.84,18.0,365.0,XinZhao,167,3969,-1.0,0.0,0.0,0.0,-1.0,Veigar,63,18875,0.54,0.63,2.61,16.0,148.0,Jinx,249,45420,0.51,0.65,2.48,40.0,406.0,Lulu,446,85170,0.54,0.42,2.55,24.0,141.0,Jax,LeeSin,Ekko,Ezreal,Bard,0
691,Volibear,247,261082,0.53,0.55,1.63,218.0,272.0,Rengar,165,290793,-1.0,0.0,0.0,0.0,-1.0,Akali,286,181413,0.48,0.47,2.66,161.0,433.0,Vayne,210,291820,0.51,0.56,2.63,71.0,1072.0,Senna,446,83657,0.54,0.67,3.17,27.0,141.0,Vladimir,XinZhao,Vex,Lucian,Nautilus,0
692,Yone,246,54006,0.53,0.67,2.05,9.0,272.0,Viego,37,8602,0.5,0.4,2.79,20.0,202.0,Sylas,693,383468,0.51,0.43,2.01,79.0,690.0,Vayne,735,1816931,-1.0,0.0,0.0,0.0,-1.0,Lulu,446,85170,0.54,0.42,2.55,24.0,141.0,Aatrox,Diana,Leblanc,KogMaw,Pyke,1
693,Aatrox,118,64957,0.48,0.46,2.33,61.0,679.0,Viego,563,61311,0.52,0.54,2.48,72.0,1327.0,Talon,234,925887,0.49,0.51,2.73,442.0,444.0,Vayne,316,210408,-1.0,0.0,0.0,0.0,-1.0,Zyra,446,60580,0.54,0.33,1.59,6.0,141.0,Darius,Shaco,Viktor,Yasuo,Nautilus,0
694,Nasus,118,52780,0.51,0.55,1.84,33.0,254.0,Rengar,76,20153,0.52,0.36,1.87,11.0,464.0,Malzahar,270,769034,0.53,0.57,2.61,209.0,354.0,Xayah,248,718037,0.52,0.53,3.1,536.0,877.0,Rakan,446,160110,0.54,0.33,3.1,6.0,141.0,Camille,Gwen,Lissandra,Vayne,Blitzcrank,1
695,Riven,447,2084119,0.53,0.56,2.23,308.0,369.0,Diana,513,48064,0.52,0.59,3.1,27.0,566.0,Katarina,449,1054836,0.5,0.48,1.96,121.0,693.0,Caitlyn,312,207851,0.46,0.38,2.42,8.0,188.0,Blitzcrank,522,609905,0.5,0.57,2.6,108.0,766.0,Sett,Mordekaiser,Pantheon,Tristana,Taric,1
696,Aatrox,326,104586,0.51,0.54,1.89,79.0,746.0,Viego,171,27797,0.56,0.68,3.08,28.0,231.0,Kayle,97,122889,0.52,0.66,2.34,87.0,191.0,Caitlyn,482,90909,0.48,0.0,1.81,2.0,89.0,Zyra,359,120277,0.51,0.42,2.04,12.0,442.0,Teemo,Mordekaiser,Kassadin,Sivir,Nami,0
697,Riven,673,323637,0.46,0.45,1.23,38.0,384.0,Zac,182,307530,0.53,0.59,3.62,387.0,459.0,Velkoz,247,469037,0.48,0.5,4.03,26.0,112.0,Sivir,48,2854,0.53,0.67,2.82,3.0,148.0,Lulu,359,89924,0.51,0.55,2.46,22.0,442.0,Rumble,Graves,Sylas,Tristana,Blitzcrank,0
698,Teemo,304,133340,0.53,0.5,1.85,20.0,62.0,Shaco,53,82733,0.55,0.63,2.82,116.0,211.0,Veigar,194,65841,0.51,0.57,3.24,35.0,238.0,Kaisa,142,75220,0.57,0.33,1.63,9.0,215.0,Maokai,359,583754,0.51,0.6,1.87,192.0,442.0,Jax,MasterYi,Zoe,Caitlyn,Pyke,1
699,Camille,293,267234,0.51,0.5,2.06,299.0,641.0,Mordekaiser,261,125991,0.49,0.6,3.03,184.0,344.0,Lissandra,393,44550,0.5,0.65,3.39,51.0,234.0,Tristana,142,15052,0.57,0.64,2.94,22.0,215.0,Pyke,195,1540,0.56,0.0,0.54,1.0,231.0,Illaoi,Vi,Sylas,Caitlyn,Lulu,0
700,Illaoi,218,539329,0.48,0.52,1.63,114.0,120.0,Mordekaiser,260,125991,0.49,0.6,3.03,184.0,344.0,Zed,65,7827,0.48,0.75,2.03,4.0,108.0,Zeri,142,23389,0.57,0.55,2.34,38.0,215.0,Seraphine,572,2481,0.43,1.0,2.14,1.0,147.0,Olaf,RekSai,Rumble,Sivir,Amumu,1
701,Olaf,38,96989,0.52,0.58,2.37,72.0,108.0,MonkeyKing,382,79686,0.51,0.49,2.34,39.0,614.0,Vladimir,326,63695,0.51,0.66,2.74,56.0,968.0,Tristana,141,15052,0.57,0.64,2.94,22.0,215.0,Pantheon,72,26003,0.52,0.6,2.87,37.0,595.0,Shen,Shaco,Viktor,KogMaw,Thresh,1
702,Akali,230,84229,0.48,0.47,2.69,38.0,99.0,Ekko,289,694153,0.52,0.57,3.05,105.0,347.0,Yasuo,282,470638,0.54,0.54,2.22,247.0,344.0,Tristana,141,15052,0.57,0.64,2.94,22.0,215.0,Pyke,72,296876,0.52,0.52,3.48,459.0,595.0,Renekton,Trundle,Xerath,Twitch,Lulu,1
703,Vayne,535,44002,0.51,0.67,1.85,6.0,476.0,Volibear,371,99314,0.51,0.56,2.86,156.0,637.0,Fizz,276,176038,0.44,0.5,3.77,12.0,86.0,Twitch,198,56964,0.53,0.57,2.4,68.0,726.0,Lulu,76,4210,0.53,0.36,2.87,11.0,342.0,Aatrox,Trundle,Akali,Zeri,Thresh,0
704,Urgot,370,126899,0.5,0.0,0.5,1.0,500.0,Volibear,199,3650,0.47,0.4,4.41,5.0,277.0,Kennen,68,97128,0.5,0.53,2.44,115.0,404.0,Lucian,480,58185,0.52,0.5,1.67,2.0,458.0,Nami,615,59361,0.52,0.5,3.4,14.0,516.0,DrMundo,Rumble,Viktor,Zeri,Yuumi,0
705,Aatrox,87,59041,0.53,0.62,3.73,95.0,332.0,Ivern,413,73134,0.53,0.55,3.76,62.0,320.0,Leblanc,78,23504,0.56,0.3,3.26,10.0,217.0,Samira,299,114895,0.51,0.53,2.57,100.0,491.0,Nautilus,298,15880,0.53,0.0,0.29,1.0,219.0,Garen,Azir,Graves,Zeri,Braum,0
706,Gangplank,470,357126,0.52,0.49,2.09,74.0,407.0,Rengar,447,383880,0.5,0.54,3.14,144.0,555.0,Velkoz,262,444106,0.52,0.52,2.45,46.0,637.0,Zeri,141,23389,0.57,0.55,2.34,38.0,215.0,Annie,418,153844,0.49,1.0,2.54,2.0,687.0,Akshan,Pantheon,Qiyana,Ziggs,Taric,1
707,Jayce,91,3246,0.55,0.0,2.6,1.0,168.0,Lillia,150,362860,0.51,0.58,3.31,341.0,974.0,Sylas,398,130825,0.51,0.6,3.14,79.0,786.0,Lucian,141,25955,0.57,0.57,2.37,14.0,215.0,TwistedFate,480,54339,0.52,0.62,3.11,42.0,166.0,Teemo,Poppy,Taliyah,Jhin,Bard,0
708,Mordekaiser,385,111270,0.5,0.46,2.1,13.0,439.0,MasterYi,566,474516,0.5,0.58,2.02,110.0,1175.0,Yone,398,322794,0.51,0.56,2.51,182.0,786.0,Vayne,349,334083,0.53,0.6,3.32,15.0,205.0,Soraka,353,181477,0.51,0.71,6.4,7.0,327.0,Akali,Kayn,Anivia,Sivir,Nami,1
709,Aatrox,432,39012,0.55,0.74,3.53,39.0,217.0,Belveth,505,61159,0.48,0.61,3.11,86.0,473.0,Lissandra,396,22199,0.53,0.78,3.59,18.0,446.0,Sivir,567,38093,0.47,0.4,2.93,30.0,540.0,Lulu,378,285481,0.49,0.52,3.41,62.0,560.0,Tryndamere,MasterYi,Sylas,Lucian,Sona,1
710,Shen,322,14877,0.52,0.44,3.23,9.0,865.0,Kindred,146,29300,0.59,0.57,2.7,44.0,103.0,Akali,149,257861,0.53,0.58,2.85,102.0,342.0,Sivir,141,21325,0.57,0.69,2.84,29.0,215.0,Brand,180,641562,0.54,0.56,1.96,572.0,569.0,Yorick,Shaco,Yone,Samira,Lulu,1
711,Sett,474,463061,0.51,0.55,1.5,146.0,483.0,Skarner,573,9536,0.51,0.0,2.38,3.0,339.0,Yasuo,113,129098,0.54,0.66,1.73,38.0,227.0,MissFortune,334,38101,0.5,0.65,3.11,17.0,447.0,Rakan,102,117010,0.52,0.57,3.01,86.0,279.0,Singed,Udyr,Rumble,Sivir,Zilean,0
712,Akali,457,536316,0.51,0.55,2.35,250.0,545.0,Graves,285,55648,0.5,0.57,2.82,81.0,1155.0,Ahri,742,600476,0.49,0.42,2.21,41.0,1483.0,Caitlyn,376,56165,0.51,0.53,2.08,40.0,509.0,Rakan,292,581683,0.54,0.58,4.38,142.0,228.0,Aatrox,Rumble,Yone,Zeri,Pyke,1
713,Akali,165,128086,0.54,0.5,2.41,18.0,374.0,MonkeyKing,224,12267,0.46,1.0,4.0,4.0,94.0,Vayne,86,13602,0.52,0.79,2.8,14.0,336.0,Aphelios,301,556220,0.49,0.49,2.07,162.0,160.0,Ashe,410,57956,0.48,0.69,3.24,26.0,335.0,Irelia,Diana,Qiyana,Zeri,Yuumi,1
714,Yone,632,239165,0.5,0.43,1.76,124.0,487.0,Poppy,274,107371,0.57,0.65,3.18,48.0,276.0,Ekko,548,93327,0.48,0.51,2.3,43.0,421.0,Sivir,37,12564,0.51,0.69,2.33,16.0,85.0,Ashe,247,89596,0.51,0.59,2.6,98.0,281.0,Gangplank,Amumu,Viktor,Zeri,Karma,0
715,Gwen,193,25006,0.5,0.71,1.64,17.0,717.0,Lillia,565,55144,0.5,0.53,3.07,49.0,351.0,Anivia,747,608795,0.49,0.53,3.05,154.0,317.0,Sivir,407,17714,0.56,1.0,10.67,2.0,57.0,Senna,483,124087,0.52,0.53,2.85,97.0,906.0,Yorick,Ekko,Akshan,Zeri,Janna,1
716,Yorick,63,32694,0.53,0.65,2.4,43.0,175.0,Ekko,406,79993,0.5,0.53,3.05,87.0,669.0,Viktor,505,625261,0.5,0.59,2.11,159.0,528.0,Tristana,140,15052,0.57,0.64,2.94,22.0,215.0,Zilean,331,814881,0.52,0.55,2.76,205.0,280.0,Jax,Graves,Fizz,Xayah,Renata,1
717,Riven,295,449351,0.51,0.5,2.29,101.0,338.0,Shaco,642,478228,0.49,0.46,2.3,494.0,892.0,Swain,225,1323,0.47,1.0,6.25,1.0,300.0,Sivir,46,3695,0.54,0.43,3.53,7.0,137.0,Renata,396,13966,0.52,0.5,2.86,24.0,415.0,Aatrox,Zac,Yasuo,Twitch,Zilean,1
718,Sion,634,5812,0.52,0.5,2.53,2.0,988.0,Ekko,220,894989,0.49,0.53,2.23,218.0,247.0,Yone,345,28086,0.51,0.0,1.46,4.0,216.0,Vayne,140,3414,0.57,0.5,3.91,2.0,215.0,Xerath,224,520129,0.52,0.57,3.47,156.0,341.0,Gwen,Viego,Katarina,Lucian,Maokai,0
719,Quinn,396,34586,0.52,0.0,0.57,1.0,459.0,MasterYi,367,356430,0.46,0.51,1.88,39.0,212.0,Akali,140,34755,0.57,0.0,1.3,2.0,215.0,Draven,372,1039772,0.48,0.53,2.75,34.0,56.0,Lulu,413,33932,0.49,0.4,4.11,5.0,689.0,Shyvana,Rammus,Ahri,Twitch,Nami,0
720,Pantheon,120,64551,0.53,0.53,2.65,103.0,755.0,Gragas,393,65598,0.51,1.0,2.8,1.0,470.0,Vayne,83,13602,0.52,0.79,2.8,14.0,336.0,Nilah,226,9883,0.53,0.6,2.09,15.0,442.0,Sona,490,142374,0.49,0.65,3.21,31.0,489.0,Sett,Belveth,Leblanc,Tristana,Rakan,1
721,Aatrox,590,474191,0.51,0.57,2.67,122.0,267.0,Ekko,569,20997,0.49,0.5,1.19,2.0,166.0,Akshan,535,24739,0.51,0.38,1.13,29.0,826.0,Sivir,140,21325,0.57,0.69,2.84,29.0,215.0,Karma,420,17890,0.52,0.33,1.63,3.0,1220.0,Darius,Graves,Ziggs,Ezreal,Senna,0
722,Sett,394,44438,0.51,0.3,1.51,10.0,875.0,Mordekaiser,459,3414,0.51,0.5,2.29,2.0,857.0,Yone,503,65553,0.52,0.52,1.77,21.0,468.0,Zeri,140,23389,0.57,0.55,2.34,38.0,215.0,Renata,680,14851,0.53,0.56,2.53,16.0,332.0,Singed,Hecarim,Leblanc,Caitlyn,Bard,0
723,Akali,73,3424,0.56,0.0,1.17,2.0,252.0,Viego,39,1790,0.49,0.2,1.79,5.0,97.0,Tryndamere,52,279,0.46,0.0,1.0,1.0,95.0,Veigar,140,1792,0.57,0.0,2.0,1.0,215.0,Morgana,160,5754,0.52,0.5,2.57,2.0,283.0,Nasus,Belveth,Taric,Jhin,Pyke,0
724,Camille,148,114653,0.57,0.46,1.4,63.0,225.0,Lillia,402,29275,0.48,0.43,2.18,56.0,291.0,Yasuo,338,70200,0.5,0.25,1.28,12.0,799.0,Caitlyn,124,28679,0.51,0.82,3.98,11.0,348.0,Alistar,114,18638,0.56,0.54,3.28,24.0,366.0,Aatrox,FiddleSticks,Viktor,Draven,Amumu,0
725,Renekton,196,40410,0.47,0.25,1.44,4.0,159.0,Ivern,210,143904,0.52,0.45,3.07,69.0,383.0,Yasuo,338,70200,0.5,0.25,1.28,12.0,799.0,Karthus,422,220934,0.51,0.57,2.07,335.0,990.0,Blitzcrank,239,50236,0.49,0.81,2.73,21.0,623.0,Camille,Rengar,Ekko,Brand,Nami,1
726,Tryndamere,564,642388,0.46,0.29,1.76,7.0,287.0,Diana,571,94569,0.49,0.46,2.12,22.0,166.0,Vladimir,55,96639,0.57,0.67,4.4,133.0,207.0,Sivir,366,4090,0.52,0.5,2.04,4.0,672.0,Morgana,212,8426,0.46,0.5,1.0,2.0,287.0,Camille,FiddleSticks,Yone,Draven,Xerath,0
727,Camille,148,114653,0.57,0.46,1.4,63.0,225.0,Khazix,487,1503642,0.52,0.5,2.37,230.0,401.0,Velkoz,46,38855,0.51,0.62,2.4,47.0,219.0,Draven,668,183026,0.52,0.5,1.89,4.0,324.0,Soraka,271,162070,0.56,0.61,3.35,119.0,167.0,Yone,Amumu,Yorick,Ezreal,Teemo,1
728,Urgot,93,88265,0.51,0.61,3.12,120.0,516.0,Taliyah,537,236544,0.51,0.6,4.32,40.0,145.0,Heimerdinger,246,7025,0.54,0.0,1.7,1.0,244.0,Tristana,930,157989,0.5,0.62,2.66,45.0,1517.0,Bard,376,587748,0.49,0.52,2.9,75.0,431.0,Camille,Kayn,Sylas,Jinx,Soraka,0
729,Camille,147,114653,0.57,0.46,1.4,63.0,225.0,MasterYi,121,10438,0.52,0.62,2.17,13.0,571.0,Viktor,285,25484,0.43,0.5,3.0,4.0,168.0,Caitlyn,381,400226,0.52,0.56,3.37,173.0,313.0,Yuumi,228,56199,0.48,0.44,3.36,57.0,378.0,Mordekaiser,Kayn,Akshan,Xayah,Soraka,1
730,Rengar,264,262784,0.5,0.52,1.57,23.0,434.0,Khazix,311,151978,0.52,0.46,2.33,54.0,380.0,Vex,508,95104,0.51,0.56,2.51,50.0,411.0,Zeri,153,39163,0.51,0.55,2.75,29.0,461.0,Taric,376,101684,0.5,0.54,3.98,13.0,288.0,Camille,Hecarim,Annie,Sivir,Zilean,1
731,Jax,147,167242,0.57,0.63,1.85,64.0,225.0,Vi,460,509343,0.49,0.58,2.73,85.0,640.0,Ahri,94,44856,0.5,0.56,2.56,9.0,72.0,MissFortune,98,25121,0.47,0.47,2.65,15.0,214.0,Alistar,298,281119,0.41,0.42,2.98,71.0,85.0,Illaoi,Sylas,Talon,Ziggs,Nautilus,1
732,Shen,513,433562,0.5,0.52,2.91,187.0,585.0,Khazix,145,115645,0.54,0.64,3.18,145.0,211.0,Malzahar,76,5911,0.58,0.8,5.07,5.0,246.0,Zeri,197,30146,0.54,0.56,3.05,32.0,302.0,Renata,550,39158,0.53,0.59,3.4,49.0,458.0,Jax,Belveth,Katarina,Jinx,Velkoz,1
733,Pantheon,417,1062357,0.51,0.55,1.7,388.0,675.0,Volibear,70,5054,0.56,0.5,1.91,8.0,213.0,Vex,440,9549,0.49,0.33,2.32,15.0,347.0,Zeri,305,23093,-1.0,0.0,0.0,0.0,-1.0,Janna,110,58354,0.56,0.65,2.67,69.0,419.0,Jax,Sejuani,Yone,Sivir,Malphite,1
734,Sion,388,42656,0.47,0.33,1.19,6.0,162.0,Hecarim,338,178825,0.51,0.53,4.56,98.0,344.0,Irelia,329,45701,0.59,0.9,4.03,10.0,66.0,Vayne,334,31220,0.41,0.5,1.11,2.0,41.0,Sett,146,1565,0.57,0.0,0.67,2.0,225.0,Kled,Shaco,Lux,Ashe,Renata,0
735,Jax,146,167242,0.57,0.63,1.85,64.0,225.0,MasterYi,57,64387,0.51,0.54,3.28,114.0,319.0,Katarina,437,256778,0.54,0.5,2.07,34.0,454.0,Ezreal,247,47730,0.56,0.57,2.9,42.0,339.0,Blitzcrank,52,36438,0.51,0.65,2.53,34.0,193.0,Akali,Rammus,Ekko,Nilah,Bard,0
736,DrMundo,44,2811,0.51,1.0,1.6,3.0,185.0,Kayn,41,684,0.5,0.0,2.0,3.0,229.0,Vladimir,212,157541,0.51,0.56,3.49,57.0,117.0,Ezreal,304,329940,0.51,0.49,3.13,251.0,1212.0,Poppy,139,628859,0.54,0.6,3.01,252.0,389.0,Darius,Garen,Taliyah,Senna,Pyke,0
737,Darius,145,83026,0.57,0.63,1.67,8.0,225.0,Rengar,525,476985,0.5,0.55,2.58,213.0,652.0,Katarina,425,603743,0.51,0.53,2.6,482.0,794.0,Jhin,317,191513,0.53,0.69,2.51,29.0,481.0,Senna,74,6821,0.51,0.6,4.11,5.0,164.0,DrMundo,Kayle,Renekton,Ashe,Yuumi,1
738,Sylas,660,45052,0.49,0.5,1.71,26.0,1240.0,Viego,436,225590,0.5,0.55,2.96,259.0,806.0,Jayce,125,35342,-1.0,0.0,0.0,0.0,-1.0,Swain,651,98797,0.51,0.65,3.78,37.0,871.0,Karma,262,37204,0.5,0.59,2.9,29.0,387.0,Malphite,DrMundo,Tryndamere,Sivir,Renata,1
739,Camille,142,114653,0.57,0.46,1.4,63.0,225.0,Shyvana,56,41746,0.53,0.51,3.03,67.0,290.0,Viktor,669,138491,0.53,0.55,2.43,31.0,487.0,Vayne,69,35984,0.51,0.56,2.42,54.0,374.0,Seraphine,371,11867,0.49,0.43,2.91,7.0,282.0,Urgot,JarvanIV,Swain,Sivir,Lux,0
740,Camille,142,114653,0.57,0.46,1.4,63.0,225.0,Evelynn,452,230153,0.57,0.67,3.71,3.0,69.0,Irelia,266,38395,0.63,0.57,2.28,23.0,101.0,MissFortune,198,27904,0.5,0.47,2.01,15.0,535.0,Taric,414,44227,0.53,0.57,2.95,30.0,394.0,Fiora,Khazix,Diana,Kaisa,Velkoz,1
741,Gwen,62,6846,0.61,0.55,2.19,11.0,56.0,Nocturne,185,362378,0.57,0.59,3.69,283.0,384.0,Veigar,42,5766,0.57,0.75,2.29,4.0,167.0,Ezreal,308,640561,0.49,0.56,2.81,199.0,568.0,Yuumi,529,66058,0.5,0.47,3.61,32.0,545.0,Jax,Graves,Viktor,Kaisa,Lulu,1
742,Camille,142,114653,0.57,0.46,1.4,63.0,225.0,Khazix,216,437517,0.52,0.59,3.17,287.0,1371.0,Leblanc,384,371033,0.53,0.56,3.61,119.0,243.0,Varus,480,18097,0.52,0.67,0.89,3.0,566.0,Leona,173,196345,0.49,0.52,4.1,102.0,393.0,Gnar,Graves,Viktor,Xayah,Alistar,1
743,Riven,398,350197,0.5,0.44,2.32,85.0,1003.0,MonkeyKing,100,86619,0.52,0.54,2.52,111.0,555.0,Xerath,283,34507,0.49,0.47,3.13,47.0,372.0,Tristana,421,27769,0.5,0.45,2.37,20.0,770.0,Janna,209,539030,0.5,0.53,2.75,381.0,714.0,Camille,Belveth,Gwen,Lucian,Nami,0
744,Jax,142,167242,0.57,0.63,1.85,64.0,225.0,Kayn,95,49046,0.5,0.58,2.89,67.0,806.0,Azir,49,1315,0.6,1.0,6.67,1.0,124.0,Twitch,129,9016,0.52,0.8,2.77,5.0,406.0,Brand,183,68331,0.46,0.46,1.9,68.0,144.0,Singed,Chogath,Malzahar,MissFortune,Sona,1
745,Camille,142,114653,0.57,0.46,1.4,63.0,225.0,Taliyah,506,2426,0.49,1.0,3.0,1.0,614.0,Tristana,77,5682,0.51,0.44,2.36,9.0,160.0,Samira,893,193587,0.51,0.54,2.16,185.0,1272.0,Nautilus,652,13851,0.51,0.5,2.83,4.0,1298.0,Darius,Diana,Morgana,Yasuo,Velkoz,1
746,Camille,141,114653,0.57,0.46,1.4,63.0,225.0,Belveth,390,32300,0.49,0.59,3.82,46.0,223.0,Fizz,448,67245,0.52,0.33,2.2,3.0,336.0,Samira,813,248676,0.5,0.52,2.13,418.0,2888.0,Amumu,402,5719,0.51,0.44,2.06,9.0,1196.0,Yasuo,Hecarim,Galio,Ezreal,Swain,0
747,Mordekaiser,241,58621,0.49,0.59,2.21,27.0,513.0,MasterYi,338,29139,0.52,0.0,1.4,1.0,462.0,Ahri,366,225950,0.51,0.54,4.06,89.0,511.0,Ezreal,317,123705,0.56,0.57,1.87,7.0,140.0,Xerath,226,1077973,0.52,0.52,3.37,401.0,415.0,Camille,Rammus,Akali,Lucian,Renata,0
748,Teemo,59,15130,0.53,0.57,1.82,23.0,266.0,MonkeyKing,104,7645,0.53,0.46,2.8,13.0,621.0,Qiyana,870,2874767,0.5,0.51,2.35,1379.0,1640.0,Seraphine,478,14536,0.51,0.25,1.97,4.0,805.0,Nidalee,60,153291,0.53,0.53,2.86,271.0,285.0,Jax,Rammus,Cassiopeia,Kaisa,Maokai,0
