,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
2697,Kayn,38,50687,0.48,0.6,3.69,65.0,233.0,Poppy,59,48922,0.42,0.46,2.27,50.0,72.0,Azir,494,1916125,0.5,0.52,2.08,639.0,909.0,Ashe,291,18407,0.51,0.33,1.92,3.0,397.0,Taric,271,62231,0.58,0.0,0.5,1.0,12.0,Gragas,Diana,Yasuo,Caitlyn,Thresh,0
2698,Twitch,60,8510,0.47,0.44,2.24,9.0,178.0,Viego,62,2979,0.5,0.75,2.81,4.0,16.0,Corki,312,34448,0.49,0.5,2.03,8.0,141.0,Yone,93,27247,0.52,0.39,2.05,26.0,186.0,Yuumi,256,433406,0.46,0.5,4.54,60.0,236.0,Gwen,Trundle,Yasuo,Jhin,Soraka,1
2699,Sett,321,65100,0.46,0.0,2.55,2.0,156.0,Viego,62,2979,0.5,0.75,2.81,4.0,16.0,Syndra,348,294614,0.56,0.46,2.74,26.0,55.0,Jhin,360,108791,0.46,0.63,2.95,8.0,112.0,Zyra,301,1395394,0.55,0.57,2.88,277.0,177.0,Gwen,Gragas,Ekko,Aphelios,Leona,0
2700,Irelia,442,246423,0.5,0.5,1.75,48.0,154.0,Viego,62,2979,0.5,0.75,2.81,4.0,16.0,Lux,105,110950,-1.0,0.0,0.0,0.0,-1.0,Caitlyn,407,93170,0.35,0.36,2.03,14.0,75.0,Zilean,50,199416,-1.0,0.0,0.0,0.0,-1.0,Teemo,XinZhao,Viktor,Vayne,Lulu,1
2701,Fiora,200,27795,0.61,0.5,1.89,4.0,28.0,Graves,38,19385,-1.0,0.0,0.0,0.0,-1.0,Twitch,362,517117,0.5,0.57,3.39,189.0,498.0,Swain,231,55277,0.53,0.0,1.29,1.0,130.0,Qiyana,80,96253,0.58,0.7,2.25,10.0,52.0,Gangplank,XinZhao,Yasuo,Jinx,Karma,0
2702,Chogath,50,4042,0.49,0.33,2.19,3.0,666.0,Karthus,548,165763,0.51,0.54,2.88,138.0,725.0,Corki,491,8864,-1.0,0.0,0.0,0.0,-1.0,Jinx,418,103193,0.55,0.57,2.71,21.0,40.0,Taric,296,1150277,0.5,0.55,3.64,234.0,612.0,Gnar,Graves,Zoe,Vayne,Pyke,0
2703,Sion,472,135515,0.5,0.64,1.63,84.0,286.0,Ekko,283,138635,-1.0,0.0,0.0,0.0,-1.0,Sylas,176,103119,0.5,0.47,1.44,62.0,796.0,Twitch,31,31039,0.49,0.5,2.42,34.0,85.0,Nami,440,266952,0.54,0.52,3.27,23.0,122.0,Trundle,LeeSin,Akali,Aphelios,Yuumi,1
2704,Akshan,44,82575,-1.0,0.0,0.0,0.0,-1.0,Amumu,41,1026,0.37,0.5,1.73,2.0,52.0,Kassadin,59,193659,0.54,0.58,2.82,134.0,177.0,Ezreal,263,14331,-1.0,0.0,0.0,0.0,-1.0,Xerath,135,13886,0.47,0.55,3.17,11.0,72.0,Urgot,Lillia,Talon,Caitlyn,Zilean,1
2705,Teemo,466,1314060,-1.0,0.0,0.0,0.0,-1.0,Zed,72,1034,0.57,0.5,3.08,2.0,21.0,Ryze,466,5249,0.72,0.0,3.0,1.0,25.0,Caitlyn,90,42950,0.49,0.67,2.64,3.0,98.0,Nami,519,131811,0.41,0.5,2.34,12.0,22.0,Nasus,LeeSin,Ashe,TwistedFate,Lux,0
2706,Darius,655,1390875,0.51,0.52,2.41,52.0,104.0,Kindred,211,7087,0.7,0.78,4.38,9.0,37.0,Galio,365,37084,0.5,0.74,3.1,34.0,278.0,Vayne,81,33760,0.47,0.53,1.87,15.0,88.0,Lulu,143,46664,0.51,0.55,3.27,40.0,301.0,Sett,Talon,Corki,Draven,Nami,1
2707,Renekton,158,20311,0.52,1.0,2.0,2.0,130.0,Talon,61,2207,0.5,0.25,2.13,4.0,16.0,Kayle,223,45140,-1.0,0.0,0.0,0.0,-1.0,Jhin,322,25095,-1.0,0.0,0.0,0.0,-1.0,Brand,519,84918,0.5,0.57,1.72,7.0,1187.0,Riven,Warwick,Vex,Karthus,Soraka,1
2708,Nasus,137,12427,0.71,0.6,1.67,5.0,34.0,Talon,61,2207,0.5,0.25,2.13,4.0,16.0,Yone,158,8226,0.52,0.0,0.71,1.0,130.0,Twitch,527,351041,0.49,0.52,2.3,133.0,561.0,Zyra,175,59657,-1.0,0.0,0.0,0.0,-1.0,Sett,Udyr,Fizz,Vayne,Lulu,0
2709,Jayce,274,81627,-1.0,0.0,0.0,0.0,-1.0,Poppy,208,188898,0.48,0.56,3.63,48.0,324.0,Veigar,373,597755,0.5,0.58,3.33,163.0,408.0,Jhin,326,152608,0.59,0.5,2.58,4.0,49.0,Lux,57,22693,0.51,0.59,2.66,17.0,139.0,DrMundo,JarvanIV,Akali,Caitlyn,Lulu,1
2710,Kennen,92,519795,0.5,0.54,2.87,494.0,922.0,Talon,315,39452,0.49,0.38,1.74,8.0,321.0,Karthus,259,1500386,0.49,0.52,2.38,533.0,607.0,Draven,73,294974,0.5,0.51,2.06,37.0,14.0,Nami,451,381583,0.46,0.53,2.97,62.0,142.0,Nasus,LeeSin,Akali,Jinx,Annie,0
